theta,rsu
0,0.09542346254483836
1,0.08860274075162294
2,0.0851984882250682
3,0.0857935613666232
4,0.09046863117589757
5,0.09878576136221026
6,0.11004215614638067
7,0.12353911470079704
8,0.13871059593834703
9,0.15513894098234554
10,0.1725265674070255
11,0.19066219289896308
12,0.2093938213073963
13,0.22860969214392632
14,0.24822544803755764
15,0.2681755996424495
16,0.28840783349832955
17,0.30887917777595925
18,0.3295533851028452
19,0.3503991203426879
20,0.3713886877126582
21,0.3924971245304617
22,0.4137015479195487
23,0.43498067862525436
24,0.4563144906067833
25,0.4776839511616294
26,0.4990708270464199
27,0.5204575392800586
28,0.5418270542512891
29,0.5631628021704544
30,0.5844486163009888
31,0.6056686881055549
32,0.6268075346608745
33,0.6478499755793855
34,0.6687811173236267
35,0.6895863432785928
36,0.7102513083054125
37,0.730761936769744
38,0.7511044232437614
39,0.7712652352383702
40,0.7912311174445492
41,0.8109890970582767
42,0.8305264898389548
43,0.8498309066113724
44,0.8688902599696688
45,0.8876927709811817
46,0.9062269757205118
47,0.9244817314911948
48,0.9424462226151831
49,0.960109965689855
50,0.9774628142291719
51,0.994494962620429
52,1.011196949341226
53,1.0275596593931338
54,1.0435743259193184
55,1.059232530983269
56,1.0745262054949518
57,1.0894476282792436
58,1.1039894242895194
59,1.118144561976784
60,1.1319063498318576
61,1.1452684321248092
62,1.1582247838721524
63,1.1707697050682588
64,1.1828978142229905
65,1.194604041252745
66,1.20588361977688
67,1.216732078875863
68,1.2271452343714562
69,1.2371191796927523
70,1.2466502763949512
71,1.2557351444003413
72,1.2643706520330609
73,1.2725539059207902
74,1.2802822408376142
75,1.287553209562813
76,1.2943645728303619
77,1.3007142894433694
78,1.3066005066265853
79,1.3120215506885058
80,1.3169759180624028
81,1.321462266792945
82,1.3254794085318606
83,1.3290263011024002
84,1.3321020416882172
85,1.334705860697679
86,1.3368371163496384
87,1.3384952900213274
88,1.3396799823933576
89,1.3403909104208411
90,1.3406279051534504
