theta,rsu
0,0.26516504294495524
1,0.2649227458754917
2,0.26419614986875717
3,0.26298614017006217
4,0.2612941909898371
5,0.25912236370753305
6,0.25647330436014926
7,0.25335024041844423
8,0.24975697685475973
9,0.24569789150724858
10,0.24117792974615193
11,0.23620259844862934
12,0.23077795928947592
13,0.2249106213559055
14,0.21860773309539588
15,0.21187697360640673
16,0.2047265432825817
17,0.19716515382183092
18,0.18920201761246971
19,0.18084683650934186
20,0.17210979001360477
21,0.16300152287057412
22,0.1535331321007434
23,0.14371615347977135
24,0.13356254748391816
25,0.12308468471804682
26,0.11229533084394627
27,0.10120763102733982
28,0.08983509392252448
29,0.07819157521415762
30,0.06629126073623884
31,0.05414864918885637
32,0.04177853447375471
33,0.029195987670244568
34,0.016416338673412946
35,0.003455157517008247
36,0.009671764596246796
37,0.022948434533805136
38,0.03635867671846151
39,0.04988615283580343
40,0.06351438173993051
41,0.07722675953319025
42,0.09100657979547144
43,0.10483705393840316
44,0.11870133165966365
45,0.13258252147247773
46,0.1464637112852918
47,0.16032798900655232
48,0.17415846314948394
49,0.1879382834117655
50,0.20165066120502506
51,0.21527889010915208
52,0.22880636622649425
53,0.2422166084111506
54,0.25549327834870866
55,0.2686202004619639
56,0.28158138161836843
57,0.2943610306152
58,0.30694357741871053
59,0.3193136921338119
60,0.33145630368119433
61,0.34335661815911334
62,0.3550001368674802
63,0.36637267397229534
64,0.37746037378890207
65,0.3882497276630025
66,0.39872759042887385
67,0.4088811964247272
68,0.41869817504569873
69,0.4281665658155298
70,0.4372748329585602
71,0.44601187945429754
72,0.4543670605574255
73,0.46233019676678666
74,0.46989158622753746
75,0.47704201655136247
76,0.4837727760403513
77,0.490075664300861
78,0.4959430022344314
79,0.501367641393585
80,0.5063429726911076
81,0.5108629344522039
82,0.5149220197997153
83,0.5185152833633998
84,0.5216383473051048
85,0.5242874066524885
86,0.5264592339347927
87,0.5281511831150179
88,0.529361192813713
89,0.5300877888204474
90,0.5303300858899108
