theta,rsu
0,0.09542346254483837
1,0.0999769699719816
2,0.10519048551479222
3,0.11082523376852388
4,0.11669749730509418
5,0.12267194836781378
6,0.12865107853802996
7,0.13456559011227082
8,0.1403669658918117
9,0.14602209217684897
10,0.15150947490338526
11,0.1568165995074058
12,0.16193808048770933
13,0.16687434110169574
14,0.171630636521642
15,0.1762162854815167
16,0.18064401168114771
17,0.18492932305566473
18,0.1890898794619082
19,0.1931448208429479
20,0.1971140500911703
21,0.20101748706554431
22,0.20501298568737517
23,0.2122947718839165
24,0.21961909721970954
25,0.2269926654632472
26,0.23441964774920893
27,0.24190163173762302
28,0.24943773020167181
29,0.2570248125528377
30,0.26465781546171635
31,0.27233008984277424
32,0.280033748636687
33,0.2877599899116342
34,0.29549938008005916
35,0.30324209072141695
36,0.31097808885533845
37,0.31869728451469154
38,0.32638964153002503
39,0.3340452581008486
40,0.3416544235090988
41,0.34920765663197184
42,0.3566957310180192
43,0.36410969037804713
44,0.37144085750717465
45,0.37868083893893767
46,0.3858215270465265
47,0.39285510084233594
48,0.3997740263690646
49,0.4065710573053346
50,0.41323923620859015
51,0.419771896672359
52,0.426162666570861
53,0.4324054724909705
54,0.4384945454014494
55,0.44442442757572814
56,0.4501899807623861
57,0.4557863955829883
58,0.46120920212703453
59,0.4664542817059629
60,0.471517879720297
61,0.4763966195841338
62,0.48108751763734925
63,0.48558799895608584
64,0.48989591394409404
65,0.4940095555488499
66,0.4979276768942729
67,0.5016495090532349
68,0.5051747785945571
69,0.5085037244274513
70,0.5116371133282688
71,0.5145762533676849
72,0.517323004260406
73,0.5198797834363257
74,0.5222495663882807
75,0.5244358796000834
76,0.5264427841207119
77,0.5282748476585419
78,0.5299371029676534
79,0.5314349903431301
80,0.5327742822999462
81,0.5339609890491961
82,0.5350012442650931
83,0.535901171887982
84,0.5366667363150839
85,0.5373035802036263
86,0.53781685607755
87,0.5382110597338161
88,0.5384898747764172
89,0.5386560381521015
90,0.5387112360790701
