theta,rsu
0,0.48348846226469383
1,0.46655150725061034
2,0.4497559438821084
3,0.4331067015201651
4,0.4166085407208701
5,0.400266052164173
6,0.3840836557852801
7,0.36806560010831335
8,0.3522159617816058
9,0.3365386453137685
10,0.3210373830094153
11,0.3057157351031918
12,0.2905770900905265
13,0.27562466525327006
14,0.260861507378173
15,0.24629049366590727
16,0.23191433282812068
17,0.21773556636978383
18,0.20375657005386927
19,0.18997955554519663
20,0.17640657223004785
21,0.16303950920796886
22,0.1498800974519586
23,0.1369299121330618
24,0.12419037510516977
25,0.11166275754567524
26,0.09934818274742095
27,0.08724762905722501
28,0.07536193295608488
29,0.06369179227601321
30,0.05223776954828946
31,0.04100029547777049
32,0.02997967253776533
33,0.019176078679831305
34,0.008589571152735056
35,0.0017799095753031529
36,0.01193253579708413
37,0.02186858845571146
38,0.03158845294888559
39,0.041092614854491887
40,0.050381655583854885
41,0.059456247969083394
42,0.06831715179103544
43,0.07696520925443844
44,0.08540134041679194
45,0.0936265385776953
46,0.10164186563527665
47,0.10944844741643545
48,0.11704746898760991
49,0.12444016995279594
50,0.13162783974553327
51,0.13861181292157967
52,0.14539346445895326
53,0.1519742050720075
54,0.15835547654617235
55,0.16453874709993252
56,0.17052550678058068
57,0.17631726290020386
58,0.18191553551830944
59,0.18732185297740503
60,0.19253774749776972
61,0.1975647508375581
62,0.2024043900242787
63,0.20705818316357538
64,0.21152763533113528
65,0.21581423455340784
66,0.21991944788270465
67,0.2238447175721009
68,0.22759145735542166
69,0.2311610488374403
70,0.2345548379992677
71,0.23777413182373544
72,0.24082019504541416
73,0.24369424702973766
74,0.24639745878550598
75,0.24893095011487418
76,0.2512957869047276
77,0.253492978563152
78,0.2555234756045149
79,0.2573881673864495
80,0.2590878800018473
81,0.2606233743287277
82,0.26199534424066023
83,0.26320441498017194
84,0.2642511416973642
85,0.2651360081557355
86,0.26585942560696935
87,0.26642173183622264
88,0.26682319037922203
89,0.26706398991222563
90,0.26714424381568874
