theta,rsu
0,0.26516504294495546
1,0.2587502222445637
2,0.2529319043025299
3,0.24781299507382634
4,0.2434990768785359
5,0.24009509626624137
6,0.23770120350067686
7,0.23640800938089856
8,0.23629173250639904
9,0.23740986385913326
10,0.23979799999622795
11,0.24346834819531032
12,0.2484101107007745
13,0.2545916020021068
14,0.2619636590337381
15,0.27046375288566016
16,0.28002021905011776
17,0.2905561491636395
18,0.3019926633243263
19,0.31425144977316033
20,0.3272565847921953
21,0.3409357216613712
22,0.3552207706522181
23,0.3700481955402819
24,0.38535903883573996
25,0.4010987675447457
26,0.4172170098835831
27,0.4336672341813927
28,0.45040640549029687
29,0.46739464331702274
30,0.4845948949939952
31,0.5019726329215288
32,0.5194955796302465
33,0.5371334618056134
34,0.5548577926596157
35,0.572641681004139
36,0.5904596648385212
37,0.608287567040253
38,0.6261023707246645
39,0.6438821119360643
40,0.6616057874955953
41,0.6792532760250638
42,0.6968052703692876
43,0.7142432198386734
44,0.7315492808813175
45,0.7487062749660238
46,0.765697652612851
47,0.7825074626460781
48,0.799120325866659
49,0.8155214124485671
50,0.8316964224573609
51,0.8476315689713285
52,0.8633135633571074
53,0.87872960231406
54,0.893867356356136
55,0.9087149594474826
56,0.9232609995496992
57,0.9374945098750682
58,0.9514049606721624
59,0.9649822513983999
60,0.9782167031590314
61,0.9910990513140152
62,1.0036204381737273
63,1.01577240572174
64,1.0275468883182226
65,1.038936205351137
66,1.0499330538144984
67,1.0605305008036412
68,1.070721975926915
69,1.0805012636415219
70,1.089862495528489
71,1.0988001425280531
72,1.1073090071621414
73,1.1153842157751528
74,1.123021210828016
75,1.130215743283467
76,1.1369638651227734
77,1.143261922035722
78,1.1491065463266183
79,1.154494650079386
80,1.1594234186245826
81,1.1638903043503346
82,1.1678930208978786
83,1.1714295377805457
84,1.174498075462779
85,1.1770971009330689
86,1.1792253238016328
87,1.1808816929502464
88,1.1820653937579477
89,1.18277584592236
90,1.1830127018922192
