theta,rsu
0,0.2986618727074387
1,0.29841365670750075
2,0.2976693111206489
3,0.2964297428173224
4,0.2946964620205583
5,0.29247158046601607
6,0.28975780882915325
7,0.28655845342268443
8,0.28287741216835005
9,0.2787191698478969
10,0.2740887926390651
11,0.2689919219432282
12,0.26343476751221645
13,0.25742409988269016
14,0.25096724212728316
15,0.24407206093256806
16,0.23674695701470938
17,0.2290008548844849
18,0.22084319197414526
19,0.21228390713935463
20,0.20333342855022762
21,0.19400266098620977
22,0.18430297255028316
23,0.17424618081868407
24,0.16384453844300795
25,0.15311071822223898
26,0.14205779766289828
27,0.13069924304611544
28,0.11904889302103966
29,0.10712094174457784
30,0.0949299215880001
31,0.08249068543148463
32,0.06981838856817063
33,0.05692847023976838
34,0.04383663482622136
35,0.030558832712338502
36,0.017111240854706534
37,0.003510243072561662
38,0.010227589913371738
39,0.024085520669751226
40,0.038046665442601234
41,0.052094014727565016
42,0.06621045399336735
43,0.08037878453323345
44,0.09458174441886459
45,0.10880202953143867
46,0.12302231464401236
47,0.13722527452964375
48,0.15139360506950994
49,0.16551004433531197
50,0.1795573936202759
51,0.1935185383931257
52,0.20737646914950542
53,0.22111430213543887
54,0.23471529991758378
55,0.24816289177521536
56,0.2614406938890984
57,0.2745325293026455
58,0.28742244763104774
59,0.3000947444943617
60,0.3125339806508771
61,0.324725000807455
62,0.3366529520839168
63,0.34830330210899246
64,0.35966185672577544
65,0.3707147772851163
66,0.381448597505885
67,0.3918502398815612
68,0.4019070316131601
69,0.41160672004908677
70,0.4209374876131048
71,0.429887966202232
72,0.43844725103702253
73,0.446604913947362
74,0.45435101607758643
75,0.46167611999544556
76,0.4685713011901603
77,0.4750281589455672
78,0.48103882657509356
79,0.4865959810061054
80,0.4916928517019422
81,0.4963232289107742
82,0.5004814712312272
83,0.5041625124855617
84,0.5073618678920302
85,0.5100756395288932
86,0.5123005210834354
87,0.5140338018801994
88,0.5152733701835263
89,0.516017715770378
90,0.5162659317703157
