theta,rsu
0,0.24335086695707245
1,0.226014906702258
2,0.2088691991344369
3,0.19191871346593567
4,0.17516819076163595
5,0.1586221430092043
6,0.14228485246399056
7,0.12616037126791219
8,0.11025252134131534
9,0.09456489454647732
10,0.07910085312108217
11,0.0638635303796707
12,0.04885583168075847
13,0.03408043565697825
14,0.019539795705297208
15,0.0052361417340477225
16,0.008828517836802283
17,0.022652393826012567
18,0.03623391379623612
19,0.04957171931845811
20,0.06266466300044744
21,0.07551180528425748
22,0.08811241101807993
23,0.10046594580801625
24,0.11257207215559915
25,0.12443064538714523
26,0.13604170938125862
27,0.14740549210105594
28,0.15852240093788775
29,0.16939301787357466
30,0.18001809446836622
31,0.19039854668204603
32,0.2005354495357874
33,0.21043003162254936
34,0.2200836694739778
35,0.22949788179193162
36,0.2386743235529092
37,0.24761477999379092
38,0.25632116048743914
39,0.2647954923168289
40,0.2730399143564739
41,0.2810566706700192
42,0.28884810403296374
43,0.29641664938953927
44,0.30376482725284043
45,0.31089523705735705
46,0.3178105504730956
47,0.3245135046905057
48,0.33100689568544983
49,0.3372935714734575
50,0.34337642536249297
51,0.3492583892134693
52,0.3549424267176817
53,0.3604315267003242
54,0.365728696459182
55,0.37083695514753606
56,0.3757593272102378
57,0.38049883588184225
58,0.38505849675555975
59,0.38944131143171884
60,0.39365026125427877
61,0.39768830114382486
62,0.40155835353533204
63,0.4052633024288262
64,0.4088059875609269
65,0.4121891987050756
66,0.41541567010807096
67,0.4184880750703565
68,0.4214090206772935
69,0.4241810426884555
70,0.4268066005917579
71,0.42928807282901243
72,0.4316277521992716
73,0.4338278414460704
74,0.4358904490344467
75,0.4378175851233425
76,0.43961115773874937
77,0.4412729691526683
78,0.4428047124726992
79,0.44420796844678273
80,0.4454842024873289
81,0.4466347619186854
82,0.4476608734515837
83,0.44856364088791795
84,0.44934404305889575
85,0.45000293199928215
86,0.45054103136016993
87,0.45095893506236123
88,0.4512571061921544
89,0.4514358761409923
90,0.45149544399010827
