theta,rsu
0,0.26516504294495535
1,0.2649227458754916
2,0.2641961498687571
3,0.262986140170062
4,0.2612941909898369
5,0.259122363707533
6,0.25647330436014903
7,0.2533502404184441
8,0.2497569768547595
9,0.24569789150724825
10,0.24117792974615176
11,0.23620259844862942
12,0.23077795928947592
13,0.22491062135590548
14,0.21860773309539577
15,0.21187697360640667
16,0.20472654328258183
17,0.1971651538218309
18,0.1892020176124697
19,0.18084683650934186
20,0.17210979001360466
21,0.16300152287057418
22,0.15353313210074315
23,0.14371615347977135
24,0.1335625474839181
25,0.12308468471804676
26,0.11229533084394638
27,0.10120763102733998
28,0.08983509392252453
29,0.07819157521415765
30,0.06629126073623891
31,0.05414864918885638
32,0.04177853447375492
33,0.029195987670244394
34,0.01641633867341296
35,0.0034551575170083263
36,0.009671764596246727
37,0.022948434533804858
38,0.03635867671846163
39,0.049886152835803485
40,0.06351438173993058
41,0.07722675953319019
42,0.09100657979547164
43,0.10483705393840317
44,0.1187013316596637
45,0.13258252147247768
46,0.1464637112852916
47,0.1603279890065521
48,0.1741584631494839
49,0.1879382834117653
50,0.20165066120502495
51,0.21527889010915183
52,0.22880636622649395
53,0.24221660841115022
54,0.25549327834870866
55,0.2686202004619638
56,0.28158138161836843
57,0.2943610306152
58,0.3069435774187104
59,0.3193136921338118
60,0.33145630368119433
61,0.3433566181591131
62,0.35500013686748
63,0.36637267397229534
64,0.37746037378890185
65,0.3882497276630025
66,0.3987275904288738
67,0.40888119642472703
68,0.41869817504569873
69,0.4281665658155297
70,0.43727483295855996
71,0.44601187945429754
72,0.45436706055742543
73,0.46233019676678644
74,0.4698915862275373
75,0.4770420165513624
76,0.48377277604035107
77,0.490075664300861
78,0.49594300223443144
79,0.5013676413935848
80,0.5063429726911072
81,0.5108629344522039
82,0.5149220197997152
83,0.5185152833633996
84,0.5216383473051047
85,0.5242874066524883
86,0.5264592339347922
87,0.5281511831150174
88,0.5293611928137129
89,0.5300877888204473
90,0.5303300858899108
