theta,rsu
0,0.2886751345948127
1,0.27131065470365623
2,0.2541272369518676
3,0.23712987464781296
4,0.22032334413363505
5,0.20371220381915411
6,0.18730079347685347
7,0.1710932337973243
8,0.1550934262042379
9,0.13930505292759982
10,0.12373157733372679
11,0.1083762445100721
12,0.09324208210273117
13,0.07833190140414002
14,0.06364829868819318
15,0.04919365678969844
16,0.03497014692480473
17,0.020979730748740693
18,0.007224162646932242
19,0.006295007744727525
20,0.01957643279493908
21,0.03261896391214351
22,0.0454216483647757
23,0.05798372589188661
24,0.07030462510965697
25,0.0823839597195499
26,0.09422152452409581
27,0.10581729125651536
28,0.11717140423061266
29,0.12828417581757018
30,0.13915608175648383
31,0.1497877563056619
32,0.16017998724189506
33,0.17033371071508227
34,0.18025000596574905
35,0.18993008991316387
36,0.19937531162188996
37,0.20858714665474434
38,0.2175671913202721
39,0.22631715682294426
40,0.2348388633243924
41,0.2431342339241002
42,0.25120528856802854
43,0.2590541378937516
44,0.2666829770207207
45,0.2740940792943282
46,0.281289789992489
47,0.2882725200034789
48,0.2950447394837856
49,0.3016089715047405
50,0.3079677856966863
51,0.3141237918994257
52,0.3200796338276697
53,0.32583798276015835
54,0.3314015312610921
55,0.33677298694243535
56,0.34195506627560085
57,0.34695048846093046
58,0.3517619693632971
59,0.35639221552206585
60,0.3608439182435162
61,0.365119747783724
62,0.3692223476297667
63,0.3731543288869608
64,0.3769182647797101
65,0.38051668527336063
66,0.3839520718243053
67,0.3872268522653887
68,0.3903433958334848
69,0.39330400834591966
70,0.39611092753219945
71,0.3987663185273074
72,0.4012722695325947
73,0.4036307876500745
74,0.40584379489568406
75,0.40791312439684907
76,0.40984051677941874
77,0.4116276167488016
78,0.4132759698698576
79,0.4147870195498422
80,0.41616210422842626
81,0.41740245477852994
82,0.41850919212143484
83,0.4194833250593553
84,0.42032574832834163
85,0.42103724087411915
86,0.4216184643531456
87,0.42206996186089224
88,0.42239215688902587
89,0.42258535251289264
90,0.4226497308103742
