theta,rsu
0,0.09542346254483822
1,0.08860274075162285
2,0.08519848822506813
3,0.08579356136662311
4,0.09046863117589765
5,0.09878576136221016
6,0.11004215614638051
7,0.12353911470079701
8,0.13871059593834698
9,0.15513894098234554
10,0.17252656740702577
11,0.19066219289896316
12,0.20939382130739642
13,0.22860969214392646
14,0.24822544803755764
15,0.26817559964244964
16,0.2884078334983293
17,0.30887917777595925
18,0.32955338510284515
19,0.35039912034268794
20,0.37138868771265826
21,0.39249712453046176
22,0.41370154791954894
23,0.4349806786252546
24,0.4563144906067833
25,0.4776839511616294
26,0.49907082704642003
27,0.5204575392800586
28,0.5418270542512892
29,0.5631628021704544
30,0.5844486163009891
31,0.6056686881055551
32,0.6268075346608744
33,0.6478499755793856
34,0.6687811173236267
35,0.6895863432785929
36,0.710251308305412
37,0.730761936769744
38,0.7511044232437614
39,0.7712652352383702
40,0.7912311174445492
41,0.8109890970582764
42,0.8305264898389549
43,0.8498309066113723
44,0.8688902599696692
45,0.8876927709811816
46,0.9062269757205119
47,0.9244817314911948
48,0.9424462226151832
49,0.9601099656898551
50,0.9774628142291717
51,0.994494962620429
52,1.011196949341226
53,1.027559659393134
54,1.0435743259193186
55,1.059232530983269
56,1.0745262054949523
57,1.0894476282792436
58,1.1039894242895194
59,1.1181445619767838
60,1.1319063498318576
61,1.1452684321248094
62,1.1582247838721529
63,1.1707697050682588
64,1.1828978142229905
65,1.1946040412527452
66,1.20588361977688
67,1.216732078875863
68,1.2271452343714562
69,1.2371191796927525
70,1.246650276394951
71,1.2557351444003413
72,1.2643706520330609
73,1.2725539059207902
74,1.2802822408376147
75,1.2875532095628133
76,1.294364572830362
77,1.3007142894433694
78,1.3066005066265856
79,1.312021550688506
80,1.3169759180624023
81,1.3214622667929452
82,1.3254794085318609
83,1.3290263011024002
84,1.3321020416882172
85,1.3347058606976792
86,1.3368371163496384
87,1.3384952900213276
88,1.3396799823933576
89,1.3403909104208414
90,1.34062790515345
